mdate,coid,月營收(累計)
2020-03-01 00:00:00+00:00,1563M,1392.929
2020-03-01 00:00:00+00:00,1565,1335.412
2020-03-01 00:00:00+00:00,1580M,488.641
2020-03-01 00:00:00+00:00,1582,1715.454
2020-03-01 00:00:00+00:00,1582M,1715.454
2020-03-01 00:00:00+00:00,1591,125.904
2020-03-01 00:00:00+00:00,1591M,125.904
2020-03-01 00:00:00+00:00,1592,1065.391
2020-03-01 00:00:00+00:00,1592M,1065.391
2020-03-01 00:00:00+00:00,1593,155.37
2020-03-01 00:00:00+00:00,1593M,155.37
2020-03-01 00:00:00+00:00,1599M,532.113
2020-03-01 00:00:00+00:00,1606,0.0
2020-03-01 00:00:00+00:00,1606M,0.0
2020-03-01 00:00:00+00:00,1613,870.253
2020-03-01 00:00:00+00:00,1613M,870.253
2020-03-01 00:00:00+00:00,1614,1169.957
2020-03-01 00:00:00+00:00,1614M,1169.957
2020-03-01 00:00:00+00:00,1626M,1811.81
2020-03-01 00:00:00+00:00,1701,2105.677
2020-03-01 00:00:00+00:00,1708,1057.521
2020-03-01 00:00:00+00:00,1708M,1057.521
2020-03-01 00:00:00+00:00,1709,2357.729
2020-03-01 00:00:00+00:00,1713M,130.601
2020-03-01 00:00:00+00:00,1714,5477.533
2020-03-01 00:00:00+00:00,1714M,5477.533
2020-03-01 00:00:00+00:00,1720,1034.408
2020-03-01 00:00:00+00:00,1720M,1034.408
2020-03-01 00:00:00+00:00,1721,830.261
2020-03-01 00:00:00+00:00,1721M,830.261
2020-03-01 00:00:00+00:00,1726M,1910.145
2020-03-01 00:00:00+00:00,1727,489.231
2020-03-01 00:00:00+00:00,1727M,489.231
2020-03-01 00:00:00+00:00,1734,625.172
2020-03-01 00:00:00+00:00,1734M,625.172
2020-03-01 00:00:00+00:00,1735,531.224
2020-03-01 00:00:00+00:00,1760,340.606
2020-03-01 00:00:00+00:00,1760M,340.606
2020-03-01 00:00:00+00:00,1781M,105.61
2020-03-01 00:00:00+00:00,1783,103.326
2020-03-01 00:00:00+00:00,1783M,103.326
2020-03-01 00:00:00+00:00,1784,195.032
2020-03-01 00:00:00+00:00,1795,1964.164
2020-03-01 00:00:00+00:00,1795M,1964.164
2020-03-01 00:00:00+00:00,1796,88.729
2020-03-01 00:00:00+00:00,1796M,88.729
2020-03-01 00:00:00+00:00,1808,569.741
2020-03-01 00:00:00+00:00,1808M,569.741
2020-03-01 00:00:00+00:00,1817,481.608
2020-03-01 00:00:00+00:00,1817M,481.608
2020-03-01 00:00:00+00:00,1905M,4561.472
2020-03-01 00:00:00+00:00,1906,379.383
2020-03-01 00:00:00+00:00,1906M,379.383
2020-03-01 00:00:00+00:00,2006,9617.646
2020-03-01 00:00:00+00:00,2006M,9617.646
2020-03-01 00:00:00+00:00,2012,1936.698
2020-03-01 00:00:00+00:00,2012M,1936.698
2020-03-01 00:00:00+00:00,2013,3151.884
2020-03-01 00:00:00+00:00,2020,1254.07
2020-03-01 00:00:00+00:00,2020M,1254.07
2020-03-01 00:00:00+00:00,2027M,16216.918
2020-03-01 00:00:00+00:00,2028,1893.414
2020-03-01 00:00:00+00:00,2028M,1893.414
2020-03-01 00:00:00+00:00,2033M,190.285
2020-03-01 00:00:00+00:00,2034,3761.241
2020-03-01 00:00:00+00:00,2034M,3761.241
2020-03-01 00:00:00+00:00,2035,2840.295
